trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9985}",20,0,-190.60037580778325,"{0: 9, 1: 0, 2: 8, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.9970000000000001}",30,0,-25.581463609568388,"{0: 24, 1: 2, 2: 4, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.9955000000000002}",25,0,-141.37093050944546,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.9940000000000002}",30,0,-177.26400141225255,"{0: 18, 1: 4, 2: 4, 3: 1, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.9925000000000003}",20,0,-23.606785275010427,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.9910000000000003}",20,0,-56.35749863791223,"{0: 13, 1: 5, 2: 1, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9895000000000004}",25,0,-102.01684791512818,"{0: 16, 1: 6, 2: 0, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.9880000000000004}",35,0,-130.94060509401007,"{0: 20, 1: 11, 2: 1, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.9865000000000005}",25,0,-27.21961787582842,"{0: 15, 1: 10, 2: 0, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.9850000000000005}",20,0,-35.29091120544827,"{0: 10, 1: 10, 2: 0, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.9835000000000006}",25,0,-105.98815354510033,"{0: 12, 1: 9, 2: 2, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.9820000000000007}",20,14,2.6539607484310848,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.9805000000000007}",25,0,-84.57108224401972,"{0: 10, 1: 12, 2: 3, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.9790000000000008}",20,0,-41.90639200996233,"{0: 10, 1: 9, 2: 1, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.9775000000000008}",25,0,-89.31491789811955,"{0: 14, 1: 7, 2: 1, 3: 3, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.9760000000000009}",20,0,-9.30844140515158,"{0: 15, 1: 5, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.9745000000000009}",25,0,-137.2203231341639,"{0: 9, 1: 12, 2: 1, 3: 2, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.973000000000001}",30,0,-56.07957161949637,"{0: 17, 1: 12, 2: 0, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.971500000000001}",25,0,-168.0466662981405,"{0: 9, 1: 11, 2: 1, 3: 2, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.9700000000000011}",20,0,-34.30878199162756,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.9685000000000011}",25,0,-61.34198178061604,"{0: 17, 1: 7, 2: 0, 3: 0, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.9670000000000012}",30,0,-58.810450559541266,"{0: 16, 1: 13, 2: 1, 3: 0, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.9655000000000012}",20,0,-49.435840739560525,"{0: 10, 1: 9, 2: 0, 3: 1, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.9640000000000013}",30,0,-17.63256035515611,"{0: 20, 1: 10, 2: 0, 3: 0, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.9625000000000014}",20,0,-114.0046027624245,"{0: 6, 1: 11, 2: 1, 3: 1, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.9610000000000014}",25,0,-78.03032083158907,"{0: 13, 1: 11, 2: 0, 3: 0, 4: 1}",0
27,False,"{'a': 0.5, 'e': 0.9595000000000015}",20,0,-44.09236347276984,"{0: 10, 1: 10, 2: 0, 3: 0, 4: 0}",0
28,False,"{'a': 0.5, 'e': 0.9580000000000015}",20,0,-101.84217626212418,"{0: 8, 1: 9, 2: 1, 3: 1, 4: 1}",0
29,False,"{'a': 0.5, 'e': 0.9565000000000016}",20,0,-24.278906132727734,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
30,False,"{'a': 0.5, 'e': 0.9550000000000016}",30,0,-65.4233716551776,"{0: 18, 1: 11, 2: 0, 3: 0, 4: 1}",0
31,False,"{'a': 0.5, 'e': 0.9535000000000017}",30,0,-82.31958045251996,"{0: 13, 1: 15, 2: 2, 3: 0, 4: 0}",0
32,False,"{'a': 0.5, 'e': 0.9520000000000017}",20,0,-108.54989844037173,"{0: 10, 1: 8, 2: 0, 3: 0, 4: 2}",0
33,False,"{'a': 0.5, 'e': 0.9505000000000018}",30,0,-53.74594489532055,"{0: 14, 1: 16, 2: 0, 3: 0, 4: 0}",0
34,False,"{'a': 0.5, 'e': 0.9490000000000018}",25,0,-65.17680539308779,"{0: 15, 1: 8, 2: 1, 3: 0, 4: 1}",0
35,False,"{'a': 0.5, 'e': 0.9475000000000019}",20,0,-31.61789492452034,"{0: 11, 1: 8, 2: 1, 3: 0, 4: 0}",0
36,False,"{'a': 0.5, 'e': 0.946000000000002}",20,0,-40.18351957518908,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
37,False,"{'a': 0.5, 'e': 0.944500000000002}",35,0,-64.19193191535773,"{0: 19, 1: 14, 2: 1, 3: 1, 4: 0}",0
38,False,"{'a': 0.5, 'e': 0.9430000000000021}",25,0,-73.79461816565441,"{0: 14, 1: 10, 2: 0, 3: 0, 4: 1}",0
39,False,"{'a': 0.5, 'e': 0.9415000000000021}",35,0,-42.73918964278291,"{0: 20, 1: 15, 2: 0, 3: 0, 4: 0}",0
40,False,"{'a': 0.5, 'e': 0.9400000000000022}",20,0,-26.61462025389236,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
41,False,"{'a': 0.5, 'e': 0.9385000000000022}",20,0,-27.894358449656888,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
42,False,"{'a': 0.5, 'e': 0.9370000000000023}",20,0,-57.418764644390755,"{0: 10, 1: 8, 2: 1, 3: 1, 4: 0}",0
43,False,"{'a': 0.5, 'e': 0.9355000000000023}",25,0,-95.16708420248492,"{0: 12, 1: 11, 2: 0, 3: 1, 4: 1}",0
44,False,"{'a': 0.5, 'e': 0.9340000000000024}",20,0,-71.42366430726794,"{0: 11, 1: 8, 2: 0, 3: 0, 4: 1}",0
45,False,"{'a': 0.5, 'e': 0.9325000000000024}",20,0,-87.09385088644306,"{0: 8, 1: 9, 2: 1, 3: 2, 4: 0}",0
46,False,"{'a': 0.5, 'e': 0.9310000000000025}",35,0,-35.25268551079447,"{0: 21, 1: 14, 2: 0, 3: 0, 4: 0}",0
47,False,"{'a': 0.5, 'e': 0.9295000000000025}",25,0,-48.9151410126099,"{0: 12, 1: 12, 2: 1, 3: 0, 4: 0}",0
48,False,"{'a': 0.5, 'e': 0.9280000000000026}",30,0,-16.247684821131124,"{0: 19, 1: 11, 2: 0, 3: 0, 4: 0}",0
49,False,"{'a': 0.5, 'e': 0.9265000000000027}",35,0,-60.61867589996907,"{0: 18, 1: 17, 2: 0, 3: 0, 4: 0}",0
50,False,"{'a': 0.5, 'e': 0.9250000000000027}",30,0,-64.18605180622053,"{0: 13, 1: 17, 2: 0, 3: 0, 4: 0}",0
51,False,"{'a': 0.5, 'e': 0.9235000000000028}",20,0,-66.75764373287973,"{0: 11, 1: 8, 2: 0, 3: 0, 4: 1}",0
52,False,"{'a': 0.5, 'e': 0.9220000000000028}",20,0,-38.982796047446,"{0: 10, 1: 9, 2: 1, 3: 0, 4: 0}",0
53,False,"{'a': 0.5, 'e': 0.9205000000000029}",25,0,-39.64130491734485,"{0: 15, 1: 9, 2: 0, 3: 1, 4: 0}",0
54,False,"{'a': 0.5, 'e': 0.9190000000000029}",35,0,-58.15248483545669,"{0: 19, 1: 15, 2: 0, 3: 1, 4: 0}",0
55,False,"{'a': 0.5, 'e': 0.917500000000003}",20,0,-18.34490764192221,"{0: 13, 1: 6, 2: 1, 3: 0, 4: 0}",0
56,False,"{'a': 0.5, 'e': 0.916000000000003}",20,0,-5.5531558397225,"{0: 14, 1: 6, 2: 0, 3: 0, 4: 0}",0
57,False,"{'a': 0.5, 'e': 0.9145000000000031}",20,0,-56.73821930263526,"{0: 9, 1: 10, 2: 0, 3: 1, 4: 0}",0
58,False,"{'a': 0.5, 'e': 0.9130000000000031}",25,0,-20.126658320260574,"{0: 18, 1: 7, 2: 0, 3: 0, 4: 0}",0
59,False,"{'a': 0.5, 'e': 0.9115000000000032}",20,0,-38.96803063742993,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
60,False,"{'a': 0.5, 'e': 0.9100000000000033}",25,0,-30.33439602660006,"{0: 16, 1: 8, 2: 0, 3: 1, 4: 0}",0
61,False,"{'a': 0.5, 'e': 0.9085000000000033}",25,0,-42.70380763548134,"{0: 16, 1: 7, 2: 1, 3: 1, 4: 0}",0
62,False,"{'a': 0.5, 'e': 0.9070000000000034}",25,0,-19.5769322780506,"{0: 15, 1: 10, 2: 0, 3: 0, 4: 0}",0
