trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0, 'e': 1}",35,0,-192.02199349815467,"{0: 18, 1: 10, 2: 4, 3: 0, 4: 3}",0
2,False,"{'a': 0, 'e': 1}",30,0,-104.45350348026298,"{0: 20, 1: 2, 2: 7, 3: 0, 4: 1}",0
3,False,"{'a': 0, 'e': 1}",30,0,-212.46627740050374,"{0: 18, 1: 4, 2: 3, 3: 1, 4: 4}",0
4,False,"{'a': 0, 'e': 1}",25,0,-93.17087532826444,"{0: 14, 1: 5, 2: 5, 3: 0, 4: 1}",0
5,False,"{'a': 0, 'e': 1}",20,0,-136.07720654999005,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
6,False,"{'a': 0, 'e': 1}",20,0,-147.50054365113817,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
7,False,"{'a': 0, 'e': 1}",30,0,-171.36209874593033,"{0: 13, 1: 8, 2: 7, 3: 0, 4: 2}",0
8,False,"{'a': 0, 'e': 1}",25,0,-50.22380371097271,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
9,False,"{'a': 0, 'e': 1}",25,0,-62.6155475416425,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
10,False,"{'a': 0, 'e': 1}",20,0,-94.94973105879752,"{0: 13, 1: 5, 2: 0, 3: 0, 4: 2}",0
11,False,"{'a': 0, 'e': 1}",25,0,-253.29695954499815,"{0: 9, 1: 5, 2: 6, 3: 1, 4: 4}",0
12,False,"{'a': 0, 'e': 1}",25,0,-191.55356494402974,"{0: 7, 1: 10, 2: 5, 3: 1, 4: 2}",0
13,False,"{'a': 0, 'e': 1}",25,0,-155.5027913467136,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
14,False,"{'a': 0, 'e': 1}",30,0,-217.30209482099332,"{0: 16, 1: 3, 2: 6, 3: 2, 4: 3}",0
15,False,"{'a': 0, 'e': 1}",35,0,-118.6498396762776,"{0: 20, 1: 4, 2: 10, 3: 1, 4: 0}",0
16,False,"{'a': 0, 'e': 1}",30,0,-224.86139042608102,"{0: 15, 1: 3, 2: 7, 3: 2, 4: 3}",0
17,False,"{'a': 0, 'e': 1}",25,0,-219.9784968112607,"{0: 12, 1: 2, 2: 6, 3: 2, 4: 3}",0
18,False,"{'a': 0, 'e': 1}",25,0,-206.87257944881407,"{0: 12, 1: 3, 2: 6, 3: 1, 4: 3}",0
19,False,"{'a': 0, 'e': 1}",20,0,-45.01547079080059,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
20,False,"{'a': 0, 'e': 1}",20,0,-102.01286567091587,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
1,True,"{'a': 0, 'e': 1}",25,0,-101.50097758265714,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
2,True,"{'a': 0, 'e': 1}",30,0,-167.95474793003766,"{0: 22, 1: 2, 2: 2, 3: 0, 4: 4}",0
3,True,"{'a': 0, 'e': 1}",20,0,-87.56506431665753,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
4,True,"{'a': 0, 'e': 1}",20,0,-102.9370481464867,"{0: 9, 1: 4, 2: 6, 3: 0, 4: 1}",0
5,True,"{'a': 0, 'e': 1}",25,0,-42.02968926153355,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
6,True,"{'a': 0, 'e': 1}",30,0,-118.3315487505403,"{0: 19, 1: 3, 2: 5, 3: 2, 4: 1}",0
7,True,"{'a': 0, 'e': 1}",20,0,-139.0553623623402,"{0: 10, 1: 1, 2: 6, 3: 2, 4: 1}",0
8,True,"{'a': 0, 'e': 1}",25,0,-108.70241943490802,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
9,True,"{'a': 0, 'e': 1}",30,0,-88.00112118167881,"{0: 20, 1: 4, 2: 5, 3: 0, 4: 1}",0
10,True,"{'a': 0, 'e': 1}",20,0,-73.23634081310578,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
